;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Min of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Min of min size of {acknowledge confirmation} sent (min) ;6;
Min of min size of {acknowledge confirmation} sent (max) ;6;
Sum of nb of {acknowledge confirmation} sent (avg) ;6.0;
Sum of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of nb of {acknowledge confirmation} sent (min) ;6;
Sum of nb of {acknowledge confirmation} sent (max) ;6;
Sum of total size of {acknowledge confirmation} sent (avg) ;108.0;
Sum of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of total size of {acknowledge confirmation} sent (min) ;108;
Sum of total size of {acknowledge confirmation} sent (max) ;108;
Sum of max size of {acknowledge confirmation} sent (avg) ;72.0;
Sum of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of max size of {acknowledge confirmation} sent (min) ;72;
Sum of max size of {acknowledge confirmation} sent (max) ;72;
Sum of min size of {acknowledge confirmation} sent (avg) ;36.0;
Sum of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Sum of min size of {acknowledge confirmation} sent (min) ;36;
Sum of min size of {acknowledge confirmation} sent (max) ;36;
Average of nb of {acknowledge confirmation} sent (avg) ;2.0;
Average of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Average of nb of {acknowledge confirmation} sent (min) ;2.0;
Average of nb of {acknowledge confirmation} sent (max) ;2.0;
Average of total size of {acknowledge confirmation} sent (avg) ;36.0;
Average of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of total size of {acknowledge confirmation} sent (min) ;36.0;
Average of total size of {acknowledge confirmation} sent (max) ;36.0;
Average of max size of {acknowledge confirmation} sent (avg) ;24.0;
Average of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of max size of {acknowledge confirmation} sent (min) ;24.0;
Average of max size of {acknowledge confirmation} sent (max) ;24.0;
Average of min size of {acknowledge confirmation} sent (avg) ;12.0;
Average of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Average of min size of {acknowledge confirmation} sent (min) ;12.0;
Average of min size of {acknowledge confirmation} sent (max) ;12.0;
Standard deviation of nb of {acknowledge confirmation} sent (avg) ;0.816496580927726;
Standard deviation of nb of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of nb of {acknowledge confirmation} sent (min) ;0.816496580927726;
Standard deviation of nb of {acknowledge confirmation} sent (max) ;0.816496580927726;
Standard deviation of total size of {acknowledge confirmation} sent (avg) ;12.96148139681572;
Standard deviation of total size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of total size of {acknowledge confirmation} sent (min) ;12.96148139681572;
Standard deviation of total size of {acknowledge confirmation} sent (max) ;12.96148139681572;
Standard deviation of max size of {acknowledge confirmation} sent (avg) ;0.0;
Standard deviation of max size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of max size of {acknowledge confirmation} sent (min) ;0.0;
Standard deviation of max size of {acknowledge confirmation} sent (max) ;0;
Standard deviation of min size of {acknowledge confirmation} sent (avg) ;8.48528137423857;
Standard deviation of min size of {acknowledge confirmation} sent (stddev) ;0.0;
Standard deviation of min size of {acknowledge confirmation} sent (min) ;8.48528137423857;
Standard deviation of min size of {acknowledge confirmation} sent (max) ;8.48528137423857;
Product of nb of {acknowledge} sent (avg) ;6.0;
Product of nb of {acknowledge} sent (stddev) ;0.0;
Product of nb of {acknowledge} sent (min) ;6;
Product of nb of {acknowledge} sent (max) ;6;
Product of total size of {acknowledge} sent (avg) ;48.0;
Product of total size of {acknowledge} sent (stddev) ;0.0;
Product of total size of {acknowledge} sent (min) ;48;
Product of total size of {acknowledge} sent (max) ;48;
Product of max size of {acknowledge} sent (avg) ;8.0;
Product of max size of {acknowledge} sent (stddev) ;0.0;
Product of max size of {acknowledge} sent (min) ;8;
Product of max size of {acknowledge} sent (max) ;8;
Product of min size of {acknowledge} sent (avg) ;8.0;
Product of min size of {acknowledge} sent (stddev) ;0.0;
Product of min size of {acknowledge} sent (min) ;8;
Product of min size of {acknowledge} sent (max) ;8;
Max of nb of {acknowledge} sent (avg) ;3.0;
Max of nb of {acknowledge} sent (stddev) ;0.0;
Max of nb of {acknowledge} sent (min) ;3;
Max of nb of {acknowledge} sent (max) ;3;
Max of total size of {acknowledge} sent (avg) ;6.0;
Max of total size of {acknowledge} sent (stddev) ;0.0;
Max of total size of {acknowledge} sent (min) ;6;
Max of total size of {acknowledge} sent (max) ;6;
Max of max size of {acknowledge} sent (avg) ;2.0;
Max of max size of {acknowledge} sent (stddev) ;0.0;
Max of max size of {acknowledge} sent (min) ;2;
Max of max size of {acknowledge} sent (max) ;2;
Max of min size of {acknowledge} sent (avg) ;2.0;
Max of min size of {acknowledge} sent (stddev) ;0.0;
Max of min size of {acknowledge} sent (min) ;2;
Max of min size of {acknowledge} sent (max) ;2;
Min of nb of {acknowledge} sent (avg) ;1.0;
Min of nb of {acknowledge} sent (stddev) ;0.0;
Min of nb of {acknowledge} sent (min) ;1;
Min of nb of {acknowledge} sent (max) ;1;
Min of total size of {acknowledge} sent (avg) ;2.0;
Min of total size of {acknowledge} sent (stddev) ;0.0;
Min of total size of {acknowledge} sent (min) ;2;
Min of total size of {acknowledge} sent (max) ;2;
Min of max size of {acknowledge} sent (avg) ;2.0;
Min of max size of {acknowledge} sent (stddev) ;0.0;
Min of max size of {acknowledge} sent (min) ;2;
Min of max size of {acknowledge} sent (max) ;2;
Min of min size of {acknowledge} sent (avg) ;2.0;
Min of min size of {acknowledge} sent (stddev) ;0.0;
Min of min size of {acknowledge} sent (min) ;2;
Min of min size of {acknowledge} sent (max) ;2;
Sum of nb of {acknowledge} sent (avg) ;6.0;
Sum of nb of {acknowledge} sent (stddev) ;0.0;
Sum of nb of {acknowledge} sent (min) ;6;
Sum of nb of {acknowledge} sent (max) ;6;
Sum of total size of {acknowledge} sent (avg) ;12.0;
Sum of total size of {acknowledge} sent (stddev) ;0.0;
Sum of total size of {acknowledge} sent (min) ;12;
Sum of total size of {acknowledge} sent (max) ;12;
Sum of max size of {acknowledge} sent (avg) ;6.0;
Sum of max size of {acknowledge} sent (stddev) ;0.0;
Sum of max size of {acknowledge} sent (min) ;6;
Sum of max size of {acknowledge} sent (max) ;6;
Sum of min size of {acknowledge} sent (avg) ;6.0;
Sum of min size of {acknowledge} sent (stddev) ;0.0;
Sum of min size of {acknowledge} sent (min) ;6;
Sum of min size of {acknowledge} sent (max) ;6;
Average of nb of {acknowledge} sent (avg) ;2.0;
Average of nb of {acknowledge} sent (stddev) ;0.0;
Average of nb of {acknowledge} sent (min) ;2.0;
Average of nb of {acknowledge} sent (max) ;2.0;
Average of total size of {acknowledge} sent (avg) ;4.0;
Average of total size of {acknowledge} sent (stddev) ;0.0;
Average of total size of {acknowledge} sent (min) ;4.0;
Average of total size of {acknowledge} sent (max) ;4.0;
Average of max size of {acknowledge} sent (avg) ;2.0;
Average of max size of {acknowledge} sent (stddev) ;0.0;
Average of max size of {acknowledge} sent (min) ;2.0;
Average of max size of {acknowledge} sent (max) ;2.0;
Average of min size of {acknowledge} sent (avg) ;2.0;
Average of min size of {acknowledge} sent (stddev) ;0.0;
Average of min size of {acknowledge} sent (min) ;2.0;
Average of min size of {acknowledge} sent (max) ;2.0;
Standard deviation of nb of {acknowledge} sent (avg) ;0.816496580927726;
Standard deviation of nb of {acknowledge} sent (stddev) ;0.0;
Standard deviation of nb of {acknowledge} sent (min) ;0.816496580927726;
Standard deviation of nb of {acknowledge} sent (max) ;0.816496580927726;
Standard deviation of total size of {acknowledge} sent (avg) ;1.632993161855452;
Standard deviation of total size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of total size of {acknowledge} sent (min) ;1.632993161855452;
Standard deviation of total size of {acknowledge} sent (max) ;1.632993161855452;
Standard deviation of max size of {acknowledge} sent (avg) ;0.0;
Standard deviation of max size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of max size of {acknowledge} sent (min) ;0.0;
Standard deviation of max size of {acknowledge} sent (max) ;0;
Standard deviation of min size of {acknowledge} sent (avg) ;0.0;
Standard deviation of min size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of min size of {acknowledge} sent (min) ;0.0;
Standard deviation of min size of {acknowledge} sent (max) ;0;
Product of nb of {confirm context} sent (avg) ;-12.0;
Product of nb of {confirm context} sent (stddev) ;0.0;
Product of nb of {confirm context} sent (min) ;-12;
Product of nb of {confirm context} sent (max) ;0;
Product of total size of {confirm context} sent (avg) ;-3990.0;
Product of total size of {confirm context} sent (stddev) ;0.0;
Product of total size of {confirm context} sent (min) ;-3990;
Product of total size of {confirm context} sent (max) ;0;
Product of max size of {confirm context} sent (avg) ;-1060.0;
Product of max size of {confirm context} sent (stddev) ;0.0;
Product of max size of {confirm context} sent (min) ;-1060;
Product of max size of {confirm context} sent (max) ;0;
Product of min size of {confirm context} sent (avg) ;-4.0;
Product of min size of {confirm context} sent (stddev) ;0.0;
Product of min size of {confirm context} sent (min) ;-4;
Product of min size of {confirm context} sent (max) ;0;
Max of nb of {confirm context} sent (avg) ;4.0;
Max of nb of {confirm context} sent (stddev) ;0.0;
Max of nb of {confirm context} sent (min) ;4;
Max of nb of {confirm context} sent (max) ;4;
Max of total size of {confirm context} sent (avg) ;95.0;
Max of total size of {confirm context} sent (stddev) ;0.0;
Max of total size of {confirm context} sent (min) ;95;
Max of total size of {confirm context} sent (max) ;95;
Max of max size of {confirm context} sent (avg) ;53.0;
Max of max size of {confirm context} sent (stddev) ;0.0;
Max of max size of {confirm context} sent (min) ;53;
Max of max size of {confirm context} sent (max) ;53;
Max of min size of {confirm context} sent (avg) ;2.0;
Max of min size of {confirm context} sent (stddev) ;0.0;
Max of min size of {confirm context} sent (min) ;2;
Max of min size of {confirm context} sent (max) ;2;
Min of nb of {confirm context} sent (avg) ;-1.0;
Min of nb of {confirm context} sent (stddev) ;0.0;
Min of nb of {confirm context} sent (min) ;-1;
Min of nb of {confirm context} sent (max) ;0;
Min of total size of {confirm context} sent (avg) ;-1.0;
Min of total size of {confirm context} sent (stddev) ;0.0;
Min of total size of {confirm context} sent (min) ;-1;
Min of total size of {confirm context} sent (max) ;0;
Min of max size of {confirm context} sent (avg) ;-1.0;
Min of max size of {confirm context} sent (stddev) ;0.0;
Min of max size of {confirm context} sent (min) ;-1;
Min of max size of {confirm context} sent (max) ;0;
Min of min size of {confirm context} sent (avg) ;-1.0;
Min of min size of {confirm context} sent (stddev) ;0.0;
Min of min size of {confirm context} sent (min) ;-1;
Min of min size of {confirm context} sent (max) ;0;
Sum of nb of {confirm context} sent (avg) ;6.0;
Sum of nb of {confirm context} sent (stddev) ;0.0;
Sum of nb of {confirm context} sent (min) ;6;
Sum of nb of {confirm context} sent (max) ;6;
Sum of total size of {confirm context} sent (avg) ;136.0;
Sum of total size of {confirm context} sent (stddev) ;0.0;
Sum of total size of {confirm context} sent (min) ;136;
Sum of total size of {confirm context} sent (max) ;136;
Sum of max size of {confirm context} sent (avg) ;72.0;
Sum of max size of {confirm context} sent (stddev) ;0.0;
Sum of max size of {confirm context} sent (min) ;72;
Sum of max size of {confirm context} sent (max) ;72;
Sum of min size of {confirm context} sent (avg) ;3.0;
Sum of min size of {confirm context} sent (stddev) ;0.0;
Sum of min size of {confirm context} sent (min) ;3;
Sum of min size of {confirm context} sent (max) ;3;
Average of nb of {confirm context} sent (avg) ;2.0;
Average of nb of {confirm context} sent (stddev) ;0.0;
Average of nb of {confirm context} sent (min) ;2.0;
Average of nb of {confirm context} sent (max) ;2.0;
Average of total size of {confirm context} sent (avg) ;45.333333333333336;
Average of total size of {confirm context} sent (stddev) ;0.0;
Average of total size of {confirm context} sent (min) ;45.333333333333336;
Average of total size of {confirm context} sent (max) ;45.333333333333336;
Average of max size of {confirm context} sent (avg) ;24.0;
Average of max size of {confirm context} sent (stddev) ;0.0;
Average of max size of {confirm context} sent (min) ;24.0;
Average of max size of {confirm context} sent (max) ;24.0;
Average of min size of {confirm context} sent (avg) ;1.0;
Average of min size of {confirm context} sent (stddev) ;0.0;
Average of min size of {confirm context} sent (min) ;1.0;
