;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Product of total size of {acknowledge} sent (avg) ;288.0;
Product of total size of {acknowledge} sent (stddev) ;0.0;
Product of total size of {acknowledge} sent (min) ;288;
Product of total size of {acknowledge} sent (max) ;288;
Product of max size of {acknowledge} sent (avg) ;8.0;
Product of max size of {acknowledge} sent (stddev) ;0.0;
Product of max size of {acknowledge} sent (min) ;8;
Product of max size of {acknowledge} sent (max) ;8;
Product of min size of {acknowledge} sent (avg) ;8.0;
Product of min size of {acknowledge} sent (stddev) ;0.0;
Product of min size of {acknowledge} sent (min) ;8;
Product of min size of {acknowledge} sent (max) ;8;
Max of nb of {acknowledge} sent (avg) ;6.0;
Max of nb of {acknowledge} sent (stddev) ;0.0;
Max of nb of {acknowledge} sent (min) ;6;
Max of nb of {acknowledge} sent (max) ;6;
Max of total size of {acknowledge} sent (avg) ;12.0;
Max of total size of {acknowledge} sent (stddev) ;0.0;
Max of total size of {acknowledge} sent (min) ;12;
Max of total size of {acknowledge} sent (max) ;12;
Max of max size of {acknowledge} sent (avg) ;2.0;
Max of max size of {acknowledge} sent (stddev) ;0.0;
Max of max size of {acknowledge} sent (min) ;2;
Max of max size of {acknowledge} sent (max) ;2;
Max of min size of {acknowledge} sent (avg) ;2.0;
Max of min size of {acknowledge} sent (stddev) ;0.0;
Max of min size of {acknowledge} sent (min) ;2;
Max of min size of {acknowledge} sent (max) ;2;
Min of nb of {acknowledge} sent (avg) ;2.0;
Min of nb of {acknowledge} sent (stddev) ;0.0;
Min of nb of {acknowledge} sent (min) ;2;
Min of nb of {acknowledge} sent (max) ;2;
Min of total size of {acknowledge} sent (avg) ;4.0;
Min of total size of {acknowledge} sent (stddev) ;0.0;
Min of total size of {acknowledge} sent (min) ;4;
Min of total size of {acknowledge} sent (max) ;4;
Min of max size of {acknowledge} sent (avg) ;2.0;
Min of max size of {acknowledge} sent (stddev) ;0.0;
Min of max size of {acknowledge} sent (min) ;2;
Min of max size of {acknowledge} sent (max) ;2;
Min of min size of {acknowledge} sent (avg) ;2.0;
Min of min size of {acknowledge} sent (stddev) ;0.0;
Min of min size of {acknowledge} sent (min) ;2;
Min of min size of {acknowledge} sent (max) ;2;
Sum of nb of {acknowledge} sent (avg) ;11.0;
Sum of nb of {acknowledge} sent (stddev) ;0.0;
Sum of nb of {acknowledge} sent (min) ;11;
Sum of nb of {acknowledge} sent (max) ;11;
Sum of total size of {acknowledge} sent (avg) ;22.0;
Sum of total size of {acknowledge} sent (stddev) ;0.0;
Sum of total size of {acknowledge} sent (min) ;22;
Sum of total size of {acknowledge} sent (max) ;22;
Sum of max size of {acknowledge} sent (avg) ;6.0;
Sum of max size of {acknowledge} sent (stddev) ;0.0;
Sum of max size of {acknowledge} sent (min) ;6;
Sum of max size of {acknowledge} sent (max) ;6;
Sum of min size of {acknowledge} sent (avg) ;6.0;
Sum of min size of {acknowledge} sent (stddev) ;0.0;
Sum of min size of {acknowledge} sent (min) ;6;
Sum of min size of {acknowledge} sent (max) ;6;
Average of nb of {acknowledge} sent (avg) ;3.6666666666666665;
Average of nb of {acknowledge} sent (stddev) ;0.0;
Average of nb of {acknowledge} sent (min) ;3.6666666666666665;
Average of nb of {acknowledge} sent (max) ;3.6666666666666665;
Average of total size of {acknowledge} sent (avg) ;7.333333333333333;
Average of total size of {acknowledge} sent (stddev) ;0.0;
Average of total size of {acknowledge} sent (min) ;7.333333333333333;
Average of total size of {acknowledge} sent (max) ;7.333333333333333;
Average of max size of {acknowledge} sent (avg) ;2.0;
Average of max size of {acknowledge} sent (stddev) ;0.0;
Average of max size of {acknowledge} sent (min) ;2.0;
Average of max size of {acknowledge} sent (max) ;2.0;
Average of min size of {acknowledge} sent (avg) ;2.0;
Average of min size of {acknowledge} sent (stddev) ;0.0;
Average of min size of {acknowledge} sent (min) ;2.0;
Average of min size of {acknowledge} sent (max) ;2.0;
Standard deviation of nb of {acknowledge} sent (avg) ;1.699673171197595;
Standard deviation of nb of {acknowledge} sent (stddev) ;0.0;
Standard deviation of nb of {acknowledge} sent (min) ;1.699673171197595;
Standard deviation of nb of {acknowledge} sent (max) ;1.699673171197595;
Standard deviation of total size of {acknowledge} sent (avg) ;3.39934634239519;
Standard deviation of total size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of total size of {acknowledge} sent (min) ;3.39934634239519;
Standard deviation of total size of {acknowledge} sent (max) ;3.39934634239519;
Standard deviation of max size of {acknowledge} sent (avg) ;0.0;
Standard deviation of max size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of max size of {acknowledge} sent (min) ;0.0;
Standard deviation of max size of {acknowledge} sent (max) ;0;
Standard deviation of min size of {acknowledge} sent (avg) ;0.0;
Standard deviation of min size of {acknowledge} sent (stddev) ;0.0;
Standard deviation of min size of {acknowledge} sent (min) ;0.0;
Standard deviation of min size of {acknowledge} sent (max) ;0;
Product of nb of {confirm context} sent (avg) ;120.0;
Product of nb of {confirm context} sent (stddev) ;0.0;
Product of nb of {confirm context} sent (min) ;120;
Product of nb of {confirm context} sent (max) ;120;
Product of total size of {confirm context} sent (avg) ;1902432.0;
Product of total size of {confirm context} sent (stddev) ;0.0;
Product of total size of {confirm context} sent (min) ;1902432;
Product of total size of {confirm context} sent (max) ;1902432;
Product of max size of {confirm context} sent (avg) ;88192.0;
Product of max size of {confirm context} sent (stddev) ;0.0;
Product of max size of {confirm context} sent (min) ;88192;
Product of max size of {confirm context} sent (max) ;88192;
Product of min size of {confirm context} sent (avg) ;80.0;
Product of min size of {confirm context} sent (stddev) ;0.0;
Product of min size of {confirm context} sent (min) ;80;
Product of min size of {confirm context} sent (max) ;80;
Max of nb of {confirm context} sent (avg) ;6.0;
Max of nb of {confirm context} sent (stddev) ;0.0;
Max of nb of {confirm context} sent (min) ;6;
Max of nb of {confirm context} sent (max) ;6;
Max of total size of {confirm context} sent (avg) ;149.0;
Max of total size of {confirm context} sent (stddev) ;0.0;
Max of total size of {confirm context} sent (min) ;149;
Max of total size of {confirm context} sent (max) ;149;
Max of max size of {confirm context} sent (avg) ;64.0;
Max of max size of {confirm context} sent (stddev) ;0.0;
Max of max size of {confirm context} sent (min) ;64;
Max of max size of {confirm context} sent (max) ;64;
Max of min size of {confirm context} sent (avg) ;20.0;
Max of min size of {confirm context} sent (stddev) ;0.0;
Max of min size of {confirm context} sent (min) ;20;
Max of min size of {confirm context} sent (max) ;20;
Min of nb of {confirm context} sent (avg) ;4.0;
Min of nb of {confirm context} sent (stddev) ;0.0;
Min of nb of {confirm context} sent (min) ;4;
Min of nb of {confirm context} sent (max) ;4;
Min of total size of {confirm context} sent (avg) ;112.0;
Min of total size of {confirm context} sent (stddev) ;0.0;
Min of total size of {confirm context} sent (min) ;112;
Min of total size of {confirm context} sent (max) ;112;
Min of max size of {confirm context} sent (avg) ;26.0;
Min of max size of {confirm context} sent (stddev) ;0.0;
Min of max size of {confirm context} sent (min) ;26;
Min of max size of {confirm context} sent (max) ;26;
Min of min size of {confirm context} sent (avg) ;2.0;
Min of min size of {confirm context} sent (stddev) ;0.0;
Min of min size of {confirm context} sent (min) ;2;
Min of min size of {confirm context} sent (max) ;2;
Sum of nb of {confirm context} sent (avg) ;15.0;
Sum of nb of {confirm context} sent (stddev) ;0.0;
Sum of nb of {confirm context} sent (min) ;15;
Sum of nb of {confirm context} sent (max) ;15;
Sum of total size of {confirm context} sent (avg) ;375.0;
Sum of total size of {confirm context} sent (stddev) ;0.0;
Sum of total size of {confirm context} sent (min) ;375;
Sum of total size of {confirm context} sent (max) ;375;
Sum of max size of {confirm context} sent (avg) ;143.0;
Sum of max size of {confirm context} sent (stddev) ;0.0;
Sum of max size of {confirm context} sent (min) ;143;
Sum of max size of {confirm context} sent (max) ;143;
Sum of min size of {confirm context} sent (avg) ;24.0;
Sum of min size of {confirm context} sent (stddev) ;0.0;
Sum of min size of {confirm context} sent (min) ;24;
Sum of min size of {confirm context} sent (max) ;24;
Average of nb of {confirm context} sent (avg) ;5.0;
Average of nb of {confirm context} sent (stddev) ;0.0;
Average of nb of {confirm context} sent (min) ;5.0;
Average of nb of {confirm context} sent (max) ;5.0;
Average of total size of {confirm context} sent (avg) ;125.0;
Average of total size of {confirm context} sent (stddev) ;0.0;
Average of total size of {confirm context} sent (min) ;125.0;
Average of total size of {confirm context} sent (max) ;125.0;
Average of max size of {confirm context} sent (avg) ;47.666666666666664;
Average of max size of {confirm context} sent (stddev) ;0.0;
Average of max size of {confirm context} sent (min) ;47.666666666666664;
Average of max size of {confirm context} sent (max) ;47.666666666666664;
Average of min size of {confirm context} sent (avg) ;8.0;
Average of min size of {confirm context} sent (stddev) ;0.0;
Average of min size of {confirm context} sent (min) ;8.0;
Average of min size of {confirm context} sent (max) ;8.0;
Standard deviation of nb of {confirm context} sent (avg) ;0.816496580927726;
Standard deviation of nb of {confirm context} sent (stddev) ;0.0;
Standard deviation of nb of {confirm context} sent (min) ;0.816496580927726;
Standard deviation of nb of {confirm context} sent (max) ;0.816496580927726;
Standard deviation of total size of {confirm context} sent (avg) ;16.990193249832878;
Standard deviation of total size of {confirm context} sent (stddev) ;0.0;
Standard deviation of total size of {confirm context} sent (min) ;16.990193249832878;
Standard deviation of total size of {confirm context} sent (max) ;16.990193249832878;
Standard deviation of max size of {confirm context} sent (avg) ;15.965240019770729;
Standard deviation of max size of {confirm context} sent (stddev) ;0.0;
Standard deviation of max size of {confirm context} sent (min) ;15.965240019770729;
Standard deviation of max size of {confirm context} sent (max) ;15.965240019770729;
Standard deviation of min size of {confirm context} sent (avg) ;8.48528137423857;
Standard deviation of min size of {confirm context} sent (stddev) ;0.0;
Standard deviation of min size of {confirm context} sent (min) ;8.48528137423857;
Standard deviation of min size of {confirm context} sent (max) ;8.48528137423857;
Product of nb of {completeness counter-example} sent (avg) ;18.0;
Product of nb of {completeness counter-example} sent (stddev) ;0.0;
Product of nb of {completeness counter-example} sent (min) ;18;
Product of nb of {completeness counter-example} sent (max) ;18;
Product of total size of {completeness counter-example} sent (avg) ;18000.0;
Product of total size of {completeness counter-example} sent (stddev) ;0.0;
Product of total size of {completeness counter-example} sent (min) ;18000;
Product of total size of {completeness counter-example} sent (max) ;18000;
Product of max size of {completeness counter-example} sent (avg) ;1000.0;
Product of max size of {completeness counter-example} sent (stddev) ;0.0;
Product of max size of {completeness counter-example} sent (min) ;1000;
Product of max size of {completeness counter-example} sent (max) ;1000;
Product of min size of {completeness counter-example} sent (avg) ;1000.0;
Product of min size of {completeness counter-example} sent (stddev) ;0.0;
Product of min size of {completeness counter-example} sent (min) ;1000;
Product of min size of {completeness counter-example} sent (max) ;1000;
Max of nb of {completeness counter-example} sent (avg) ;3.0;
Max of nb of {completeness counter-example} sent (stddev) ;0.0;
Max of nb of {completeness counter-example} sent (min) ;3;
Max of nb of {completeness counter-example} sent (max) ;3;
Max of total size of {completeness counter-example} sent (avg) ;30.0;
Max of total size of {completeness counter-example} sent (stddev) ;0.0;
Max of total size of {completeness counter-example} sent (min) ;30;
Max of total size of {completeness counter-example} sent (max) ;30;
Max of max size of {completeness counter-example} sent (avg) ;10.0;
Max of max size of {completeness counter-example} sent (stddev) ;0.0;
Max of max size of {completeness counter-example} sent (min) ;10;
Max of max size of {completeness counter-example} sent (max) ;10;
Max of min size of {completeness counter-example} sent (avg) ;10.0;
Max of min size of {completeness counter-example} sent (stddev) ;0.0;
Max of min size of {completeness counter-example} sent (min) ;10;
Max of min size of {completeness counter-example} sent (max) ;10;
Min of nb of {completeness counter-example} sent (avg) ;2.0;
Min of nb of {completeness counter-example} sent (stddev) ;0.0;
Min of nb of {completeness counter-example} sent (min) ;2;
Min of nb of {completeness counter-example} sent (max) ;2;
Min of total size of {completeness counter-example} sent (avg) ;20.0;
